Site,Col_company,Col_recruit,Col_detail,Col_url
Saramin,(주)딜리버스,[스타트업]DATA 분석 인턴 채용,"['서울 성동구', '경력무관', '대졸↑', '계약직·인턴직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53127968&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)엑셀리언트,(삼성동) 빅 데이터 추출 및 분석 (경력),"['서울 강남구', '경력무관', '초대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53011109&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)하이퍼정보,데이터 모델 및 분석 담당자 모집,"['서울 강남구', '경력 7~15년', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53018622&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)숲,[SOOP] 데이터 분석 엔지니어 (Data Analytics Enginner),"['경기 성남시 분당구', '경력6년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53171481&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)더블다운인터액티브,데이터 분석가 (경력),"['서울 강남구', '경력4년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53149813&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)우아한형제들,"3PL 운영 데이터 분석가 모집(경력무관, 기간제)","['서울전체', '경력무관', '학력무관', '기간제·계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53090545&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,현대자동차(주),AI 기반 마케팅 ROI 분석,"['서울 강남구', '경력1년↑', '대졸↑']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53142764&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)인터엑스,[서울] ﻿AI 비전·데이터 분석 엔지니어,"['서울 금천구', '신입·경력', '초대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53160155&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,메가존클라우드(주),보안 데이터 분석 엔지니어 채용 (SIEM/SOAR/Senior),"['경기 과천시', '신입·경력', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53113425&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)엑셀리언트,(삼성동) Google 광고운영 및 데이터분석 (경력),"['서울 강남구', '경력무관', '초대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53004797&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,㈜미디어윌 역삼지점,㈜미디어윌 온라인사업실 AI 데이터분석가 모집,"['서울 서대문구', '경력5년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53109663&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)바로팜,[비알피커넥트]데이터 분석가(계약직),"['서울 강남구', '경력 3~15년', '학력무관', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52937080&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,펑타이그레이터차이나(유),[PTKOREA] 데이터 분석가,"['서울 강남구', '경력 5~9년', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52832585&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)케이브레인컴퍼니,ISP·데이터기반행정 컨설턴트(데이터 분석/품질),"['서울 동작구', '경력3년↑', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52917137&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 산업기능요원 (병역특례),"['서울 강남구', '경력무관', '학력무관', '산업기능요원·현역']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52862624&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,넛지헬스케어(주),[캐시워크] 데이터엔지니어 채용전환형 인턴,"['서울 강남구', '신입', '학력무관', '인턴직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53174939&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
